Donald Trump	Alexia Palmer
Trump Model Management	Anna
Rachel Blais	Elle
Marcelle Almonte	Mother Jones
Donald Trump	Rachel Blais
Laura Devine Attorneys	Mother Jones
Ballon, Stoll, Bader & Nadler	Alexia Palmer
Donald Trump	Kate
Kate	Anna
Rachel Blais	Jean Paul Gaultier
Donald Trump	NBC
Kate	Mother Jones
Donald Trump	Melania Trump
Marcelle Almonte	Trump Model Management
Teen Vogue	Alexia Palmer
Donald Trump	Anna
Sara Ziff	Model Alliance
Busta Rhymes	Donald Trump
AP Photo	Pierre Roussel
Rachel Blais	Gianfranco Ferré
AP Photo	Louis Lanzano
Donald Trump	Department of Labor
Donald Trump	Mother Jones
Department of Labor	Naresh Gehi
Alexia Palmer	Naresh Gehi
Department of Labor	Trump Model Management
Donald Trump	Politico
Department of Labor	Condé Nast
Corinne Nicolas	Trump Model Management
Kate	Trump Model Management
Rachel Blais	Vogue
Susan Scafidi	Fashion Law Institute
Elle	Rachel Blais
Anthony Weiner	Daily News
Trump Model Management	Rachel Blais
Department of Labor	Alexia Palmer
Ballon, Stoll, Bader & Nadler	Mother Jones
Donald Trump	Hope Hicks
Laura Devine Attorneys	Anastasia Tonello
Ballon, Stoll, Bader & Nadler	Pankaj Malik
Rachel Blais	Dolce & Gabbana
Donald Trump	Trump Model Management
Rachel Blais	Alexia Palmer
Susan Scafidi	Fordham University
Donald Trump	Republican
Busta Rhymes	Rachel Blais
Public Radio International	Rachel Blais
Kate	Rachel Blais
